序号,品牌ID,品牌名称,封面图URL,车型名称,官方指导价,款式数量,评分
1,1,大众,https://p3-dcd.byteimg.com/motor-img/28d677a5f94a5a24103f088dd94c8515~tplv-f042mdwyw7-original:640:0.png,朗逸,9.39万,25,3.56
2,9,本田,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/01ea2955a1cb44ff8f048e3deabf2c17~tplv-f042mdwyw7-original:640:0.png,雅阁,16.98万,10,3.88
3,2,奥迪,https://p3-dcd.byteimg.com/motor-img/f8250b5672059b6380b04eeeb0d7fe33~tplv-f042mdwyw7-original:640:0.png,奥迪A6L,42.79万,16,4.17
4,5,丰田,https://p3-dcd.byteimg.com/motor-img/46a9db48bccc28d5a4aadcbcf9b5df96~tplv-f042mdwyw7-original:640:0.png,凯美瑞,17.98万,18,3.85
5,3,奔驰,https://p3-dcd.byteimg.com/motor-img/edde3643a62581f4d0234d9debf1ba1b~tplv-f042mdwyw7-original:640:0.png,奔驰E级,44.01万,20,4.11
6,1,大众,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c9ddb9ea9b9047029212858b14caba31~tplv-f042mdwyw7-original:640:0.png,帕萨特,18.19万,22,3.87
7,9,本田,https://p3-dcd.byteimg.com/motor-img/af835d978de92b8342d900c8473c8d88~tplv-f042mdwyw7-original:640:0.png,思域,12.99万,14,3.85
8,2,奥迪,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/db765ed4695e4d1e808f3344a2637ff8~tplv-f042mdwyw7-original:640:0.png,奥迪A4L,32.18万,11,4.02
9,10,日产,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f5483079e6094fb898c14f3b3d6c1493~tplv-f042mdwyw7-original:640:0.png,轩逸,10.86万,6,3.5
10,4,宝马,https://p3-dcd.byteimg.com/motor-img/b4f69ed40e9e2f4f40a8874ce323e181~tplv-f042mdwyw7-original:640:0.png,宝马3系,29.99万,9,4.04
11,30,凯迪拉克,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/f46f8b91a9844a19928567a73e863101~tplv-f042mdwyw7-original:640:0.png,凯迪拉克CT5,28.97万,5,4.08
12,59,红旗,https://p3-dcd.byteimg.com/motor-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-f042mdwyw7-original:640:0.png,红旗H5,15.98万,10,3.81
13,17,哈弗,https://p3-dcd.byteimg.com/motor-img/418e967314e8e89e55e3b3b359377177~tplv-f042mdwyw7-original:640:0.png,哈弗H6,9.89万,24,3.75
14,1,大众,https://p3-dcd.byteimg.com/motor-img/89991e9322440768e5f67b551d6e7ee5~tplv-f042mdwyw7-original:640:0.png,迈腾,18.69万,5,3.91
15,73,吉利汽车,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e089916842c943ab8277e180dfb3240b~tplv-f042mdwyw7-original:640:0.png,星越L,13.72万,8,3.88
16,1,大众,https://p3-dcd.byteimg.com/motor-img/44c013067df2032cc03b6031eb68bf05~tplv-f042mdwyw7-original:640:0.png,速腾,12.79万,10,3.66
17,4,宝马,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/3f20faf0fbf746ec82436c7e8dbf57e3~tplv-f042mdwyw7-original:640:0.png,宝马5系,43.65万,13,4.18
18,73,吉利汽车,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4fc66389c5644e648c5093b476ccd036~tplv-f042mdwyw7-original:640:0.png,星瑞,10.87万,6,3.87
19,9,本田,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/bc20bec323e9460e862ac2b30b0f9991~tplv-f042mdwyw7-original:640:0.png,本田CR-V,18.59万,8,3.8
20,59,红旗,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/5a83a84460054405a374db60196ea265~tplv-f042mdwyw7-original:640:0.png,红旗H9,30.98万,5,4.06
21,18,奇瑞,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d8d9de3901d34378b2fd87287e07b7fa~tplv-f042mdwyw7-original:640:0.png,艾瑞泽8,10.89万,8,3.75
22,7,福特,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/39e749731a0c4a3da62b8f163d395042~tplv-f042mdwyw7-original:640:0.png,蒙迪欧,14.98万,8,3.93
23,174,领克,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/496f813bab0e479cb6484b656f93e1d8~tplv-f042mdwyw7-original:640:0.png,领克03,13.78万,14,3.89
24,9,本田,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/bc48ceffe1394c528b45bb3a5042f890~tplv-f042mdwyw7-original:640:0.png,型格,12.99万,18,3.83
25,35,长安,https://p3-dcd.byteimg.com/motor-img/0d4710a714c5c25fe9c61fb95986f388~tplv-f042mdwyw7-original:640:0.png,长安UNI-V,10.89万,12,3.75
26,22,雷克萨斯,https://p3-dcd.byteimg.com/motor-img/4782a535c22599dc9b9b6b651f99280c~tplv-f042mdwyw7-original:640:0.png,雷克萨斯ES,29.69万,8,4.06
27,209,捷途,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e12d84abb842430798a950248f172910~tplv-f042mdwyw7-original:640:0.png,捷途旅行者,13.99万,7,0
28,35,长安,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/dec41a8d4fcc422bbb34c1a71dd76a1d~tplv-f042mdwyw7-original:640:0.png,长安CS75 PLUS,11.79万,15,3.73
29,5,丰田,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/2e716928f981407b80c5e8772b8141a2~tplv-f042mdwyw7-original:640:0.png,锋兰达,12.58万,10,3.63
